Date;Beta Monthly Leveraged;Beta Monthly Unleveraged;Beta Weekly Leveraged;Beta Weekly Unleveraged;Close;Open;PE
2020/12/31;0,983;0;0,9957;0;59408,68;57091,89;23,046
2020/11/30;0,9831;0;0,996;0;57091,89;51684,7;22,015
2020/10/31;0,9831;0;0,9961;0;51684,7;54264,96;19,286
2020/09/30;0,9832;0;0,9956;0;54264,96;55484,93;20,044
2020/08/31;0,9832;0;0,9956;0;55476,11;55721,8;19,619
2020/07/31;0,9832;0;0,9954;0;55721,8;54362,36;18,266
2020/06/30;0,9827;0;0,9961;0;54362,36;50483;17,288
2020/05/31;0,9832;0;0,9951;0;50483;50336,72;14,574
2020/04/30;0,9833;0;0,9953;0;50336,72;44490,31;14,203
2020/03/31;0,9831;0;0,9952;0;44490,31;51038,18;12,571
2020/02/29;0,9833;0;0,9959;0;51038,18;56079,54;14,611
2020/01/31;0,9832;0;0,9959;0;56079,54;57084,1;16,22
2019/12/31;0,9832;0;0,9931;0;57084,1;55349,01;16,321
2019/11/30;0,9831;0;0,9953;0;55349,01;56425,11;15,858
2019/10/31;0,9832;0;0,9932;0;56425,11;54824,97;16,25
2019/09/30;0,9833;0;0,9961;0;54824,97;55259,57;15,757
2019/08/31;0,9828;0;0,9949;0;55259,57;56784,61;16,304
2019/07/31;0,9837;0;0,9947;0;56784,61;58203,84;17,346
2019/06/30;0,9827;0;0,9962;0;58203,84;55650,41;18,149
2019/05/31;0,9825;0;0,9968;0;55650,41;58528,4;17,325
2019/04/30;0,9829;0;0,9946;0;58528,4;56462,55;18,131
2019/03/31;0,9833;0;0,9955;0;56462,55;56002,08;17,315
2019/02/28;0,9827;0;0,9948;0;56002,08;54156,75;17,341
2019/01/31;0,9828;0;0,9949;0;54156,75;52736,86;16,86
2018/12/31;0,9828;0;0,9961;0;52736,86;50663,94;16,444
2018/11/30;0,9828;0;0,9954;0;50663,94;52388,87;16,7
2018/10/31;0,9827;0;0,9964;0;52388,87;55708,47;17,597
2018/09/30;0,9827;0;0,993;0;55708,47;58668,48;18,691
2018/08/31;0,9837;0;0,9971;0;58668,48;57432,46;20,618
2018/07/31;0,9827;0;0,9951;0;57432,46;57610,98;19,686
2018/06/30;0,9832;0;0,9941;0;57610,98;56157,89;19,714
2018/05/31;0,9824;0;0,9954;0;56157,89;58236,13;19,268
2018/04/30;0,9825;0;0,995;0;58236,13;55474,52;19,269
2018/03/31;0,9824;0;0,9963;0;55474,52;58325,09;18,405
2018/02/28;0,9828;0;0,9944;0;58325,09;59506,12;19,253
2018/01/31;0,9829;0;0,993;0;59506,12;59504,67;20,955
2017/12/31;0,9828;0;0,9935;0;59504,67;59772,83;21,237
2017/11/30;0,9828;0;0,9967;0;59772,83;58980,11;21,436
2017/10/31;0,9834;0;0,9953;0;58980,11;55579,92;20,48
2017/09/30;0,9828;0;0,9932;0;55579,92;56522,11;19,31
2017/08/31;0,9831;0;0,9961;0;56522,11;55207,41;19,774
2017/07/31;0,9828;0;0,9936;0;55207,41;51611,01;20,485
2017/06/30;0,9835;0;0,9923;0;51611,01;53562,57;19,732
2017/05/31;0,9837;0;0,9967;0;53562,57;53817,31;19,94
2017/04/30;0,9831;0;0,9938;0;53817,31;52056,06;20,163
2017/03/31;0,9824;0;0,9919;0;52056,06;51146,05;19,477
2017/02/28;0,9831;0;0,9945;0;51146,05;52788,12;19,759
2017/01/31;0,9822;0;0,9936;0;52788,12;50653,54;23,477
2016/12/31;0,9826;0;0,9947;0;50653,54;50209,43;22,836
2016/11/30;0,9823;0;0,9958;0;50209,43;50590,08;22,842
2016/10/31;0,983;0;0,9933;0;50590,08;51949,83;22,833
2016/09/30;0,9829;0;0,9971;0;51949,83;52733,12;23,391
2016/08/31;0,9827;0;0,9945;0;52733,12;52797,58;23,468
2016/07/31;0,982;0;0,9947;0;52797,58;52217,72;22,256
2016/06/30;0,9824;0;0,996;0;52217,72;53905,21;22,104
2016/05/31;0,9831;0;0,9961;0;53905,21;52957,32;22,059
2016/04/30;0,9825;0;0,9971;0;52957,32;52250,28;21,815
2016/03/31;0,9833;0;0,9942;0;52250,28;49415,31;21,524
2016/02/29;0,9835;0;0,9949;0;49415,31;49141,94;19,614
2016/01/31;0,9829;0;0,9946;0;49141,94;50693,76;18,65
2015/12/31;0;0;0;0;50693,76;51607,83;19,259
2015/11/30;0,983;0;0,9926;0;51607,83;53793,74;19,602
2015/10/31;0,9827;0;0,9928;0;53793,74;50088,86;19,722
2015/09/30;0,9829;0;0,9952;0;50088,86;49972,33;18,325
2015/08/31;0,9831;0;0,9962;0;49972,33;52053,27;17,85
2015/07/31;0,9831;0;0,9961;0;52053,27;51806,95;17,962
2015/06/30;0,9828;0;0,9936;0;51806,95;52270,86;17,455
2015/05/31;0,983;0;0,9973;0;52270,86;54440,43;18,268
2015/04/30;0,983;0;0,9947;0;54440,43;52181,95;19,164
2015/03/31;0,9835;0;0,9952;0;52181,95;53344,2;18,37
2015/02/28;0,9825;0;0,9931;0;53344,2;51266,81;18,84
2015/01/31;0,9826;0;0,994;0;51266,81;49770,6;17,421
2014/12/31;0,9833;0;0,995;0;49770,6;49911,37;16,972
2014/11/30;0,9834;0;0,9929;0;49911,37;49722,88;17
2014/10/31;0,9831;0;0,9947;0;49722,88;49336,31;17,017
2014/09/30;0,9823;0;0,9949;0;49336,31;50959,02;16,928
2014/08/31;0,9826;0;0,9944;0;50959,02;51396,07;17,739
2014/07/31;0,9831;0;0,994;0;51396,07;50945,26;18,08
2014/06/30;0,9829;0;0,9948;0;50945,26;49632,7;18,463
2014/05/31;0,9832;0;0,9965;0;49632,7;48870,1;17,851
2014/04/30;0,9833;0;0,9941;0;48870,1;47770,92;17,457
2014/03/31;0,9828;0;0,9943;0;47770,92;47328,92;17,125
2014/02/28;0,983;0;0,9946;0;47328,92;45132,1;17,898
2014/01/31;0,9832;0;0,9963;0;45132,1;46256,23;18,126
2013/12/31;0,9831;0;0,9954;0;46256,23;44975,67;18,581
2013/11/30;0,983;0;0,9959;0;44975,67;45517,56;18,071
2013/10/31;0,9831;0;0,9947;0;45517,56;44031,83;18,827
2013/09/30;0,9832;0;0,9963;0;44031,83;42228,34;18,165
2013/08/31;0,9831;0;0,9957;0;42228,34;41292,84;17,756
2013/07/31;0,9829;0;0,9958;0;41292,84;39578,1;17,524
2013/06/30;0,9834;0;0,9958;0;39578,1;42016,45;16,35
2013/05/31;0,9831;0;0,9953;0;42016,45;38735;17,5
2013/04/30;0,9831;0;0,9953;0;38735;39860,84;16,046
2013/03/31;0,9832;0;0,9959;0;39860,84;39709,56;16,509
2013/02/28;0,9833;0;0,9962;0;39709,56;40482,92;16,645
2013/01/31;0,983;0;0,9961;0;40482,92;39250,24;15,21
2012/12/31;0,9831;0;0,9957;0;39250,24;38104,61;14,764
2012/11/30;0,9834;0;0,9952;0;38104,61;37156,28;14,341
2012/10/31;0,9831;0;0,9956;0;37156,28;35757,98;14,234
2012/09/30;0,9831;0;0,9953;0;35757,98;35389,45;13,696
2012/08/31;0,9834;0;0,9955;0;35389,45;34596,9;13,692
2012/07/31;0,983;0;0,9961;0;34596,9;33708,31;13,144
2012/06/30;0,9834;0;0,9957;0;33708,31;33142,61;12,398
2012/05/31;0,9831;0;0,9957;0;33142,61;34399,04;12,211
2012/04/30;0,9832;0;0,9961;0;34399,04;33554,21;13,014
2012/03/31;0,9833;0;0,9955;0;33554,21;34296;12,681
2012/02/29;0,9831;0;0,9956;0;34296;33792,48;13,359
2012/01/31;0,9832;0;0,9955;0;33792,48;31985,67;13,42
2011/12/31;0,9832;0;0,9961;0;31985,67;32812,64;12,712
2011/11/30;0,9831;0;0,9962;0;32812,64;32348,54;12,936
2011/10/31;0,9833;0;0,996;0;32348,54;29674,2;13,205
2011/09/30;0,9832;0;0,9956;0;29674,2;31005,5;12,124
2011/08/31;0,9832;0;0,9962;0;31005,5;31208,04;12,692
2011/07/31;0,9834;0;0,9955;0;31208,04;31864,54;15,433
2011/06/30;0,983;0;0,9957;0;31864,54;32565,73;14,854
2011/05/31;0,983;0;0,9957;0;32565,73;32836,23;15,329
2011/04/30;0,9833;0;0,9961;0;32836,23;32204,06;15,701
2011/03/31;0,9832;0;0,996;0;32204,06;32272,09;15,395
2011/02/28;0,9832;0;0,9952;0;32272,09;31398,75;15,4
2011/01/31;0,9832;0;0,9958;0;31398,75;32118,89;16,803
2010/12/31;0,983;0;0,9958;0;32118,89;30266,4;17,189
2010/11/30;0,983;0;0,9957;0;30266,4;30430,9;16,252
2010/10/31;0,9832;0;0,9954;0;30430,9;29456,04;17,085
2010/09/30;0,9833;0;0,9955;0;29456,04;27253,87;16,556
2010/08/31;0,9834;0;0,996;0;27253,87;28355,21;16,039
2010/07/31;0,9831;0;0,9953;0;28355,21;26258,82;17,038
2010/06/30;0,9833;0;0,9957;0;26258,82;27145,36;16,053
2010/05/31;0,9833;0;0,9965;0;27145,36;28635,76;16,616
2010/04/30;0,9834;0;0,9958;0;28635,76;28747,56;17,543
2010/03/31;0,9831;0;0,9955;0;28747,56;26764,61;17,652
2010/02/28;0,9833;0;0,9963;0;26764,61;26675,95;17,376
2010/01/31;0,9832;0;0,9955;0;26675,95;27666,45;16,52
2009/12/31;0,9832;0;0,9949;0;27666,45;26894,74;17,197
2009/11/30;0,983;0;0,9957;0;26894,74;26360,55;16,643
2009/10/31;0,9834;0;0,9958;0;26360,55;24910,85;15,57
2009/09/30;0,9832;0;0,9962;0;24910,85;24929,42;14,531
2009/08/31;0,9833;0;0,9957;0;24929,42;24258,51;13,56
2009/07/31;0,9831;0;0,9953;0;24258,51;22049,42;11,92
2009/06/30;0,9831;0;0,9957;0;22049,42;22770,62;10,632
2009/05/31;0,9831;0;0,9955;0;22770,62;20647,03;10,721
2009/04/30;0,9831;0;0,9953;0;20647,03;20363,91;9,834
2009/03/31;0,9832;0;0,9954;0;20363,91;18465,33;9,681
2009/02/28;0,9832;0;0,9954;0;18465,33;20570,05;8,205
2009/01/31;0,9832;0;0,9959;0;20570,05;21509,2;9,053