ASPEN,CAPITEC,IMPLATS,GROWPNT,REINET,PROSUS,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,NEPIROCK,OMUTUAL,MR_PRICE,ABSAGROUP,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,GLENCORE,SHOPRIT,MC_GROUP,INVLTD,MONDIPLC,BIDCORP,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,SIBANYE-S,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP,BHP
64,0.0,844,1850,0.0,0.0,625.0,21100.0,0.0,0.0,0.0,0.0,0.0,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8800,6181,0.0,0.0,2825.0,2375,0.0,0.0,0.0,0.0
64,0.0,863,1850,0.0,0.0,625.0,21600.0,0.0,0.0,0.0,0.0,0.0,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8650,6305,0.0,0.0,2825.0,2400,0.0,0.0,0.0,0.0
64,0.0,863,1850,0.0,0.0,650.0,22000.0,0.0,0.0,0.0,0.0,0.0,386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,6195,0.0,0.0,2825.0,2425,0.0,0.0,0.0,0.0
64,0.0,850,1850,0.0,0.0,650.0,22150.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8475,6044,0.0,0.0,2900.0,2425,0.0,0.0,0.0,0.0
64,0.0,863,1850,0.0,0.0,650.0,22350.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,6099,0.0,0.0,2875.0,2425,0.0,0.0,0.0,0.0
64,0.0,875,1850,0.0,0.0,650.0,22150.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8350,6058,0.0,0.0,2900.0,2350,0.0,0.0,0.0,0.0
64,0.0,888,1850,0.0,0.0,625.0,22850.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8310,6058,0.0,0.0,2900.0,2300,0.0,0.0,0.0,0.0
64,0.0,888,1850,0.0,0.0,625.0,23100.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8400,6044,0.0,0.0,2850.0,2175,0.0,0.0,0.0,0.0
60,0.0,881,1850,0.0,0.0,625.0,23350.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,6140,0.0,0.0,2850.0,2175,0.0,0.0,0.0,0.0
60,0.0,888,1850,0.0,0.0,625.0,23500.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8650,6003,0.0,0.0,2850.0,2250,0.0,0.0,0.0,0.0
64,0.0,881,1850,0.0,0.0,625.0,24000.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,5797,0.0,0.0,2835.0,2200,0.0,0.0,0.0,0.0
64,0.0,881,1850,0.0,0.0,625.0,23850.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8650,5611,0.0,0.0,2825.0,2250,0.0,0.0,0.0,0.0
64,0.0,888,1850,0.0,0.0,625.0,22950.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8700,5522,0.0,0.0,2700.0,2175,0.0,0.0,0.0,0.0
54,0.0,894,1850,0.0,0.0,625.0,22250.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8700,5549,0.0,0.0,2650.0,2175,0.0,0.0,0.0,0.0
54,0.0,894,1850,0.0,0.0,600.0,21700.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8700,5549,0.0,0.0,2650.0,2175,0.0,0.0,0.0,0.0
54,0.0,894,1850,0.0,0.0,600.0,21700.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,970,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8600,5549,0.0,0.0,2650.0,2175,0.0,0.0,0.0,0.0
54,0.0,881,1850,0.0,0.0,600.0,21700.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8600,5385,0.0,0.0,2650.0,2125,0.0,0.0,0.0,0.0
54,0.0,881,1850,0.0,0.0,600.0,21700.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8600,5385,0.0,0.0,2650.0,2125,0.0,0.0,0.0,0.0
54,0.0,869,1850,0.0,0.0,600.0,20500.0,0.0,0.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8700,5412,0.0,0.0,2600.0,2175,0.0,0.0,0.0,0.0
54,0.0,875,1850,0.0,0.0,600.0,20500.0,0.0,0.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,9050,5549,0.0,0.0,2600.0,2200,0.0,0.0,0.0,0.0
58,0.0,875,1850,0.0,0.0,600.0,20400.0,0.0,0.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8850,5714,0.0,0.0,2600.0,2200,0.0,0.0,0.0,0.0
58,0.0,850,1850,0.0,0.0,550.0,20950.0,0.0,0.0,0.0,0.0,0.0,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,9000,5632,0.0,0.0,2625.0,2200,0.0,0.0,0.0,0.0
60,0.0,863,1850,0.0,0.0,600.0,21075.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8750,5865,0.0,0.0,2625.0,2250,0.0,0.0,0.0,0.0
60,0.0,863,1850,0.0,0.0,650.0,20100.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8700,5673,0.0,0.0,2635.0,2200,0.0,0.0,0.0,0.0
60,0.0,838,1850,0.0,0.0,650.0,20700.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8650,5797,0.0,0.0,2650.0,2225,0.0,0.0,0.0,0.0
60,0.0,838,1850,0.0,0.0,675.0,20400.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980,0.0,100.0,0.0,900,0.0,0.0,0.0,0.0,8700,5769,0.0,0.0,2650.0,2250,0.0,0.0,0.0,0.0
60,0.0,838,1850,0.0,0.0,675.0,20200.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8675,6071,0.0,0.0,2650.0,2300,0.0,0.0,0.0,0.0
60,0.0,838,1850,0.0,0.0,675.0,20150.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8675,5879,0.0,0.0,2650.0,2350,0.0,0.0,0.0,0.0
60,0.0,841,1850,0.0,0.0,625.0,19850.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8700,5865,0.0,0.0,2700.0,2325,0.0,0.0,0.0,0.0
60,0.0,838,1850,0.0,0.0,625.0,19250.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,5879,0.0,0.0,2700.0,2375,0.0,0.0,0.0,0.0
60,0.0,831,1850,0.0,0.0,625.0,19150.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,5920,0.0,0.0,2725.0,2400,0.0,0.0,0.0,0.0
60,0.0,825,1850,0.0,0.0,625.0,19250.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,6374,0.0,0.0,2725.0,2500,0.0,0.0,0.0,0.0
80,0.0,825,1650,0.0,0.0,625.0,19250.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8500,6374,0.0,0.0,2775.0,2500,0.0,0.0,0.0,0.0
80,0.0,825,1650,0.0,0.0,600.0,19750.0,0.0,0.0,0.0,0.0,0.0,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1000,0.0,0.0,0.0,0.0,8350,6374,0.0,0.0,2825.0,2500,0.0,0.0,0.0,0.0
80,0.0,825,1650,0.0,0.0,600.0,19750.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1070,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8300,6456,0.0,0.0,2825.0,2575,0.0,0.0,0.0,0.0
80,0.0,825,1650,0.0,0.0,600.0,19750.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8100,6374,0.0,0.0,2825.0,2500,0.0,0.0,0.0,0.0
80,0.0,831,1650,0.0,0.0,600.0,20750.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8100,6113,0.0,0.0,2825.0,2500,0.0,0.0,0.0,0.0
90,0.0,831,1650,0.0,0.0,600.0,20600.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,7975,6113,0.0,0.0,2950.0,2500,0.0,0.0,0.0,0.0
90,0.0,825,1650,0.0,0.0,575.0,20100.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,7950,6044,0.0,0.0,3050.0,2400,0.0,0.0,0.0,0.0
90,0.0,825,1650,0.0,0.0,575.0,20100.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6099,0.0,0.0,3050.0,2425,0.0,0.0,0.0,0.0
90,0.0,831,1650,0.0,0.0,575.0,18850.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6236,0.0,0.0,3100.0,2475,0.0,0.0,0.0,0.0
90,0.0,831,1650,0.0,0.0,600.0,18750.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6236,0.0,0.0,3350.0,2475,0.0,0.0,0.0,0.0
90,0.0,825,1650,0.0,0.0,600.0,19250.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6305,0.0,0.0,3400.0,2475,0.0,0.0,0.0,0.0
90,0.0,825,1650,0.0,0.0,600.0,19250.0,0.0,0.0,0.0,0.0,0.0,390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6305,0.0,0.0,3400.0,2475,0.0,0.0,0.0,0.0
90,0.0,844,1650,0.0,0.0,600.0,18950.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140,0.0,100.0,0.0,1060,0.0,0.0,0.0,0.0,8075,6456,0.0,0.0,3400.0,2450,0.0,0.0,0.0,0.0
90,0.0,838,1650,0.0,0.0,600.0,18950.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130,0.0,200.0,0.0,1100,0.0,0.0,0.0,0.0,8000,6394,0.0,0.0,3400.0,2450,0.0,0.0,0.0,0.0
90,0.0,838,1650,0.0,0.0,600.0,19100.0,0.0,0.0,0.0,0.0,0.0,393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130,0.0,200.0,0.0,1160,0.0,0.0,0.0,0.0,7950,6387,0.0,0.0,3450.0,2375,0.0,0.0,0.0,0.0
90,0.0,813,1650,0.0,0.0,600.0,19150.0,0.0,0.0,0.0,0.0,0.0,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,0.0,200.0,0.0,1160,0.0,0.0,0.0,0.0,8100,6264,0.0,0.0,3400.0,2300,0.0,0.0,0.0,0.0
90,0.0,825,1650,0.0,0.0,650.0,18650.0,0.0,0.0,0.0,0.0,0.0,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,200.0,0.0,1180,0.0,0.0,0.0,0.0,8200,6319,0.0,0.0,3400.0,2300,0.0,0.0,0.0,0.0
90,0.0,863,1650,0.0,0.0,600.0,18000.0,0.0,0.0,0.0,0.0,0.0,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,200.0,0.0,1200,0.0,0.0,0.0,0.0,8590,6346,0.0,0.0,3300.0,2300,0.0,0.0,0.0,0.0
90,0.0,875,1625,0.0,0.0,600.0,19100.0,0.0,0.0,0.0,0.0,0.0,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,0.0,200.0,0.0,1200,0.0,0.0,0.0,0.0,8550,6346,0.0,0.0,3200.0,2400,0.0,0.0,0.0,0.0
